Country Name,Country Code,PBI_Crecimiento,fin_educ_prim,fin_educ_prim_m,fin_educ_prim_h,gasto_educacion_total,gasto_educacion_total_gobierno,gasto_primaria,gasto_secundaria,inasistencia_escuela,inasistencia_primaria_mujeres,inscripcion_preprimario,inscripcion_primaria,inscripcion_secundaria,PBI_percapita,perseverancia_escuela_M,perseverancia_escuela_V,repetidores_primaria_M,repetidores_primaria_V,transicion_secudaria_M,transicion_secudaria_V,prevalencia_desnutricion,inflación_preciosconsumidor,Ahorro neto ajustado,Cargos_propiedad intelectual,Gastos_%PIB,Agricul_silvicul_pesca_PIB,Inversión_extranj.direc,AOD_neto,Asistencia neta recibida,formación bruta de capital,importaciones_bys,industria,inflación_PIB,2017,ingresos_nosubvenciones,remesas personales,PBI,Crecimiento_PBI,exportaciones_bys
Botswana,BWA,1.8738815256832,,,,7.09999990463257,22.2000007629395,,,,,,,,7296.09214157008,,,,,,,,28.9,20.7377304415443,493884.410060117,28.184287589316,1.84389707671191,260575129.351448,0.626818183122178,102089996.337891,23.8305195721842,39.0445326132988,37.1396048019655,-2.64741761140019,3.30828076768219,33.6157989109378,38956561.4682334,16088437675.1648,4.003449739749,42.9647361291737
Brunei Darussalam,BRN,0.209044441908858,107.427223205566,106.383666992188,108.41236114502,,,,,,,67.0270309448242,93.53285,84.04573,28571.608291419,,,0.20864,0.3425,99.58777,100,,2.5,35.2557826764841,0,,1.08644948261552,467927550.316567,,,34.8047146772393,35.6035073472775,59.7205108761203,4.95369028901914,-1.26050564628963,,,12128104859.1498,1.32860255161715,49.5732416988601
Bulgaria,BGR,3.51553833482474,89.8164672851563,89.1243286132813,90.470458984375,4.09102010726929,12.7309503555298,,,17828,16813,76.9631805419922,86.4454,89.05757,8366.29322145748,96.2631607055664,96.4478302001953,0.07254,0.08364,,,,3.1,12.0723651814431,52660000,32.0651912226244,4.04090723942437,2007290000,,,19.8058740941669,62.682001370811,23.9758286109973,4.81028842774043,2.06159619443137,32.5457887692174,2193590000,59199447421.4924,2.76217095961262,66.9945956439964
Burkina Faso,BFA,3.17736075265671,63.5192184448242,66.3537902832031,60.7889785766602,5.62846994400024,21.4440002441406,,,364976,381641,3.67812991142273,76.42387,29.14227,734.996267960528,73.6684875488281,64.4015274047852,6.34707,6.35998,79.47294,80.78387,16.2,12.4,0.0450355267365501,726642.72016037,18.4897905554418,20.5855872188282,2572690.32188177,6.57087692020975,892150024.414063,22.0618365902649,32.8163945669667,25.1402372200063,1.41629727998107,1.48299897161327,16.7979690110934,416839243.101534,14106956830.0857,6.20348941121868,26.4523856350501
Burundi,BDI,-2.64677820864496,68.3787002563477,73.5319595336914,63.2476081848145,4.76202011108398,19.7648506164551,,,51105,23181,14.0244703292847,94.87551,28.30495,253.826354063895,47.3229293823242,40.2373008728027,22.9761,24.81492,76.97064,75.50361,,,-20.576148195449,13706.9092654658,,28.5466470060171,316473.449369742,15.8825263983115,435820007.324219,8.80599839418582,26.9515346026704,10.9931298354004,11.4491729184542,16.0525353030392,,33725358.649667,2748180473.71333,0.500009998779461,7.44470259985838
Cabo Verde,CPV,2.47516943136586,87.4014205932617,88.1306228637695,86.6782989501953,5.18174982070923,16.4125804901123,16.65962,19.66117,1900,2406,73.5408706665039,92.86236,71.43748,3289.90220261281,,,5.82144,10.24849,94.63132,94.18946,,16.7,20.0587927945304,41901.8778712697,28.4248291128302,6.73868990472169,111711633.73814,7.20488233951379,123010002.13623,38.2133682778826,67.3803535416683,18.1919628958589,0.68514844716961,0.784415251101353,28.7938967815076,216552201.969857,1768319144.00218,3.70203918776542,45.9228129647968
Chad,TCD,-5.92875313174368,37.9223899841309,30.8099498748779,45.0125617980957,2.45481991767883,16.3627490997314,,,300374,539891,0.741850018501282,,,665.948884859103,74.913688659668,71.5187835693359,,,,,24.3,29.1,,,,48.6130864065927,363381636.4,6.5756055694012,648979980.46875,21.2931346913914,39.7020456976579,14.6285477715639,0.0282519135155042,-1.53709962980847,,0,10000395242.1457,-2.98869598553931,33.8729624845644
Chile,CHL,-0.247251358761787,94.7535629272461,94.130126953125,95.3555374145508,5.41966009140015,21.3115501403809,18.38536,18.68243,15069,18830,81.763671875,94.74067,88.65187,14998.8170563218,99.602180480957,99.7515869140625,2.19078,3.78886,,,,3,5.17280423439076,50489332.23,22.2932311335404,3.98030643432141,6127820993.23861,0.0264744224435059,70309997.5585938,21.2573715491058,27.2171741679132,29.4435300842842,4.78230030518235,2.18271846868523,21.1168686691773,66541753.587694,277034675515.684,1.18454470657974,28.4368472344774
China,CHN,6.30186310052261,,,,3.66744995117188,12.1553001403809,,,,,84.7978210449219,,,8816.98690451989,,,0.01249,0.0149,,,,2.5,26.1357149670273,4803034260.13,,7.46356501656874,166083755721.649,-0.00805203816386675,-989940002.441406,43.0132973858151,17.9401362522062,39.8516984492394,4.23268197526643,1.59313600071434,15.8831720481562,28675983092.3,12310409370894.2,6.94720079327288,19.6922769882201
Colombia,COL,-0.163409332080448,105.986801147461,105.974510192871,105.998558044434,4.53551006317139,15.4687404632568,17.84725,17.26919,58849,41597,,93.13491,76.5618,6376.70671552601,94.9148178100586,90.1851119995117,1.80301,2.6218,,,,7.1,4.14472080757472,134001691.40625,27.5049639074473,6.38966355268118,13700880445.1998,0.277750237048552,850419982.910156,21.5993768407696,20.1376251940583,26.8148589146209,5.13373589963334,4.3121410323773,22.5842861999584,5818773635.08076,311883730690.129,1.35936086788746,15.1452897484005
